Date,dividend,ticker
2014-07-28,20.0,TCS.NS
2014-10-29,2.5,TCS.NS
2015-01-27,2.5,TCS.NS
2015-06-05,12.0,TCS.NS
2015-07-20,2.75,TCS.NS
2015-10-21,5.5,TCS.NS
2015-10-23,2.75,TCS.NS
2016-01-21,2.75,TCS.NS
2016-06-06,13.5,TCS.NS
2016-07-25,3.25,TCS.NS
2016-10-24,3.25,TCS.NS
2017-01-23,3.25,TCS.NS
2017-06-13,13.75,TCS.NS
2017-07-24,3.5,TCS.NS
2017-10-25,3.5,TCS.NS
2018-01-22,3.5,TCS.NS
2018-05-31,14.5,TCS.NS
2018-07-17,4.0,TCS.NS
2018-10-23,4.0,TCS.NS
2019-01-17,4.0,TCS.NS
2019-06-04,18.0,TCS.NS
2019-07-16,5.0,TCS.NS
2019-10-17,40.0,TCS.NS
2020-01-23,5.0,TCS.NS
2020-03-19,12.0,TCS.NS
2020-06-03,6.0,TCS.NS
2020-07-16,5.0,TCS.NS
2020-10-14,12.0,TCS.NS
2021-01-14,6.0,TCS.NS
2021-05-25,15.0,TCS.NS
2021-07-15,7.0,TCS.NS
2021-10-14,7.0,TCS.NS
2022-01-19,7.0,TCS.NS
2022-05-25,22.0,TCS.NS
2022-07-14,8.0,TCS.NS
2022-10-17,8.0,TCS.NS
2023-01-16,67.0,TCS.NS
2023-06-15,24.0,TCS.NS
2023-07-20,9.0,TCS.NS
2023-10-19,9.0,TCS.NS
2024-01-19,18.0,TCS.NS
2005-09-22,1.5,MPHASIS.NS
2006-08-24,3.0,MPHASIS.NS
2007-09-07,3.0,MPHASIS.NS
2008-07-16,3.3,MPHASIS.NS
2009-01-22,2.0,MPHASIS.NS
2010-02-10,3.5,MPHASIS.NS
2011-02-10,4.0,MPHASIS.NS
2012-02-15,6.5,MPHASIS.NS
2012-02-16,6.5,MPHASIS.NS
2013-01-17,17.0,MPHASIS.NS
2014-01-22,17.0,MPHASIS.NS
2014-07-16,7.0,MPHASIS.NS
2015-08-25,16.0,MPHASIS.NS
2016-10-19,20.0,MPHASIS.NS
2017-07-13,17.0,MPHASIS.NS
2018-07-26,20.0,MPHASIS.NS
2019-07-11,27.0,MPHASIS.NS
2020-07-02,35.0,MPHASIS.NS
2021-09-13,27.0,MPHASIS.NS
2022-07-05,46.0,MPHASIS.NS
2022-07-06,46.0,MPHASIS.NS
2023-07-05,50.0,MPHASIS.NS
2007-03-21,0.375,TECHM.NS
2008-07-17,1.375,TECHM.NS
2008-10-27,1.0,TECHM.NS
2010-07-21,0.875,TECHM.NS
2011-08-04,1.0,TECHM.NS
2012-08-02,1.0,TECHM.NS
2013-09-19,1.25,TECHM.NS
2014-07-25,5.0,TECHM.NS
2015-07-23,6.0,TECHM.NS
2016-07-28,6.0,TECHM.NS
2017-07-27,9.0,TECHM.NS
2018-07-26,14.0,TECHM.NS
2019-07-25,14.0,TECHM.NS
2020-03-02,10.0,TECHM.NS
2020-07-23,5.0,TECHM.NS
2020-10-29,15.0,TECHM.NS
2021-07-23,15.0,TECHM.NS
2021-07-26,15.0,TECHM.NS
2021-11-02,15.0,TECHM.NS
2022-07-21,15.0,TECHM.NS
2022-11-09,18.0,TECHM.NS
2023-07-20,32.0,TECHM.NS
2023-07-21,32.0,TECHM.NS
2023-11-02,12.0,TECHM.NS
